Date,PL Account,Amount,Description,Counterparty
2024-02-07,Other Expenses:PE Tax,-4730.29,Transaction 50,Counterparty 50
2023-02-16,Marketing and sales:Other sales expenses,966.4,Transaction 51,Counterparty 51
2023-11-21,Staff expenses:Recruitment software,1146.7,Transaction 52,Counterparty 52
2023-08-16,Available for sale assets (short-term),-320.42,Transaction 53,Counterparty 53
2024-04-21,Principal repayment of lease obligations,-575.55,Transaction 54,Counterparty 54
2024-01-31,Inventory,-4573.12,Transaction 55,Counterparty 55
2023-01-07,Direct labour,-3755.23,Transaction 56,Counterparty 56
2023-04-17,Common stock,-4687.15,Transaction 57,Counterparty 57
2023-03-24,Income,-481.64,Transaction 58,Counterparty 58
2023-04-27,Accrued non-current liabilities,2996.84,Transaction 59,Counterparty 59
2024-01-05,Proceeds from debt,-2321.38,Transaction 60,Counterparty 60
2023-05-05,Purchase & Sales of property and equipment,1118.95,Transaction 61,Counterparty 61
2024-05-04,Short-term debit,3138.87,Transaction 62,Counterparty 62
2023-03-28,Marketing and sales,272.19,Transaction 63,Counterparty 63
2024-05-02,Other Expenses,3193.78,Transaction 64,Counterparty 64
2023-04-21,Consulting,-2979.74,Transaction 65,Counterparty 65
2024-04-12,Other Expenses:Comissions and fees,-1271.75,Transaction 66,Counterparty 66
2024-02-23,Marketing and sales:Marketing team salary,-4329.68,Transaction 67,Counterparty 67
2024-02-28,Other Expenses:Social Tax,1250.26,Transaction 68,Counterparty 68
2023-06-27,Work in process,2382.29,Transaction 69,Counterparty 69
2023-07-05,Marketing and sales:Design,-3575.49,Transaction 70,Counterparty 70
2023-05-01,Marketing and sales:Advertising,3.47,Transaction 71,Counterparty 71
2023-02-27,CHASE CHE *8731,4577.28,Transaction 72,Counterparty 72
2024-01-13,Sales,4069.66,Transaction 73,Counterparty 73
2023-07-20,Accrued liabilities,131.8,Transaction 74,Counterparty 74
2023-08-13,Staff expenses:Other staff expenses,-4615.55,Transaction 75,Counterparty 75
2023-08-24,Other Expenses:PE Tax,699.71,Transaction 76,Counterparty 76
2024-03-26,Common stock,-3048.75,Transaction 77,Counterparty 77
2023-10-24,Payroll liabilities,-3909.05,Transaction 78,Counterparty 78
2023-10-18,Undeposited Funds,2386.92,Transaction 79,Counterparty 79
2023-03-29,Office expenses:Office equipment,-4963.62,Transaction 80,Counterparty 80
2023-09-01,Amortisation / Depreciation:Amortisation,-3066.57,Transaction 81,Counterparty 81
2023-12-30,Staff expenses:Recruitment expenses,-1568.87,Transaction 82,Counterparty 82
2024-04-21,Marketing and sales:PR,-258.37,Transaction 83,Counterparty 83
2023-08-05,Stripe,3249.57,Transaction 84,Counterparty 84
2023-11-20,Current portion of long-term debt,181.04,Transaction 85,Counterparty 85
2023-12-16,Accrued non-current liabilities,-3382.64,Transaction 86,Counterparty 86
2024-03-22,Common stock,2696.41,Transaction 87,Counterparty 87
2023-02-28,Stripe,-2046.03,Transaction 88,Counterparty 88
2024-01-17,Growth subscription,-1339.85,Transaction 89,Counterparty 89
2023-06-19,Dividends payable,3544.14,Transaction 90,Counterparty 90
2024-01-12,Mercury CHE *6028,4538.58,Transaction 91,Counterparty 91
2024-03-09,Share capital,1269.17,Transaction 92,Counterparty 92
2024-05-08,Less,-95.25,Transaction 93,Counterparty 93
2023-02-15,Accounts Payable (A/P),-4412.3,Transaction 94,Counterparty 94
2023-01-12,Marketing and sales:Other sales expenses,-1080.37,Transaction 95,Counterparty 95
2023-08-09,Accounts Receivable (A/R),-4544.7,Transaction 96,Counterparty 96
2024-04-10,Direct labour:Bonuses,-1774.2,Transaction 97,Counterparty 97
2023-12-21,Staff expenses,-4839.73,Transaction 98,Counterparty 98
2023-03-26,Stripe Other fees,-1177.99,Transaction 99,Counterparty 99
2023-03-23,Stripe expenses,4763.22,Transaction 100,Counterparty 100
2023-10-10,Consulting,-1104.02,Transaction 101,Counterparty 101
2023-10-08,Staff expenses:Corporate events,1097.3,Transaction 102,Counterparty 102
2024-04-30,Less:Discount,-4394.83,Transaction 103,Counterparty 103
2023-03-30,Marketing and sales:Sales bonus,2571.06,Transaction 104,Counterparty 104
2023-04-19,Income tax payable,4506.34,Transaction 105,Counterparty 105
2023-03-12,Stripe Other fees,4168.25,Transaction 106,Counterparty 106
2024-03-05,R&D expenses:R&D software & other services,1747.66,Transaction 107,Counterparty 107
2024-05-13,Income,-4111.4,Transaction 108,Counterparty 108
2024-06-14,Dividends paid,3292.59,Transaction 109,Counterparty 109
2023-07-13,Direct labour:Bonuses,4479.65,Transaction 110,Counterparty 110
2024-01-15,Prepaid expenses administrative,-2811.55,Transaction 111,Counterparty 111
2023-12-31,Cost of sales,1997.32,Transaction 112,Counterparty 112
2023-11-26,CHASE SAV *2868,3540.42,Transaction 113,Counterparty 113
2024-03-04,Marketing and sales:Design,-4627.25,Transaction 114,Counterparty 114
2023-11-28,Dividends payable,-4458.88,Transaction 115,Counterparty 115
2024-06-09,Staff expenses:Recruitment expenses,-4800.85,Transaction 116,Counterparty 116
2023-05-24,Purchase & Sales of property and equipment,-1212.19,Transaction 117,Counterparty 117
2023-08-14,Long-Term Investments,748.26,Transaction 118,Counterparty 118
2023-02-01,Office expenses:Office equipment,2297.33,Transaction 119,Counterparty 119
2023-07-07,Other Expenses,919.85,Transaction 120,Counterparty 120
2023-10-13,Common stock,-2740.76,Transaction 121,Counterparty 121
2023-09-10,Dividends payable,4044.94,Transaction 122,Counterparty 122
2023-03-09,Marketing and sales:Design,3132.68,Transaction 123,Counterparty 123
2023-04-09,Stripe fees,-3354.36,Transaction 124,Counterparty 124
2023-07-08,Mercury Savings *6214,685.74,Transaction 125,Counterparty 125
2024-01-29,Exchange Loss,-3142.4,Transaction 126,Counterparty 126
2023-02-02,Taxes,-416.48,Transaction 127,Counterparty 127
2023-07-03,Common stock,-64.0,Transaction 128,Counterparty 128
2023-11-09,Marketing and sales:Sales bonus,1088.28,Transaction 129,Counterparty 129
2023-04-07,Office expenses:Rent,-4858.06,Transaction 130,Counterparty 130
2024-01-18,Other Expenses:Social Tax,-738.08,Transaction 131,Counterparty 131
2024-04-21,Marketing and sales:Refferal program,3547.17,Transaction 132,Counterparty 132
2024-03-26,Stripe sales,4848.85,Transaction 133,Counterparty 133
2024-04-28,Essential subscription,-3493.25,Transaction 134,Counterparty 134
2024-04-18,Marketing and sales,829.59,Transaction 135,Counterparty 135
2023-08-22,Dividends paid,3792.71,Transaction 136,Counterparty 136
2023-07-07,Staff expenses:Recruitment software,-4320.45,Transaction 137,Counterparty 137
2023-01-19,Amortisation / Depreciation:Amortisation,1065.96,Transaction 138,Counterparty 138
2023-05-23,Grants and other financial income,145.02,Transaction 139,Counterparty 139
2023-06-21,Mercury Checking *8932,-4873.72,Transaction 140,Counterparty 140
2023-05-09,Proceeds from debt,76.03,Transaction 141,Counterparty 141
2023-08-12,Amortisation / Depreciation:Depreciation,-750.13,Transaction 142,Counterparty 142
2023-08-12,Opening Balance Equity,-3160.62,Transaction 143,Counterparty 143
2024-05-29,Other Expenses,-234.2,Transaction 144,Counterparty 144
2023-09-21,R&D expenses:R&D software & other services,-4212.89,Transaction 145,Counterparty 145
2024-03-19,Staff expenses:Other staff expenses,4047.35,Transaction 146,Counterparty 146
2023-07-26,Marketing and sales:Other sales expenses,512.01,Transaction 147,Counterparty 147
2023-03-16,Essential subscription,903.68,Transaction 148,Counterparty 148
2023-05-27,Other comprehensive income,4748.96,Transaction 149,Counterparty 149
2023-07-10,Office expenses:Office equipment,-4996.06,Transaction 150,Counterparty 150
2023-09-12,Consulting,4661.89,Transaction 151,Counterparty 151
2023-02-12,Staff expenses:Other staff expenses,-2200.24,Transaction 152,Counterparty 152
2024-03-02,Professional services,-2754.34,Transaction 153,Counterparty 153
2024-01-19,Less:Discount,715.13,Transaction 154,Counterparty 154
2023-04-05,Available for sale assets (short-term),-922.72,Transaction 155,Counterparty 155
2024-03-02,Other comprehensive income,2354.24,Transaction 156,Counterparty 156
2023-05-20,Project's direct cost:Software expenses,2019.38,Transaction 157,Counterparty 157
2023-11-02,Prepaid expenses administrative,2043.48,Transaction 158,Counterparty 158
2023-12-03,Payroll Clearing,-2033.57,Transaction 159,Counterparty 159
2023-03-17,Uncategorised Expense,515.56,Transaction 160,Counterparty 160
2023-12-14,Comissions and fees from sales:Stripe fee,-1812.78,Transaction 161,Counterparty 161
2024-03-17,Professional services:Financial & legal software,-3829.65,Transaction 162,Counterparty 162
2023-01-20,Marketing and sales:Marketing software & other services,1146.38,Transaction 163,Counterparty 163
2023-04-26,Income tax payable,1765.98,Transaction 164,Counterparty 164
2023-08-06,Staff expenses:Corporate events,141.37,Transaction 165,Counterparty 165
2024-06-06,Office expenses:Other office expenses,3859.84,Transaction 166,Counterparty 166
2023-07-11,Dividends paid,-591.19,Transaction 167,Counterparty 167
2024-04-03,Billable Expense Income,2122.19,Transaction 168,Counterparty 168
2024-04-05,Office expenses:Office equipment,1627.73,Transaction 169,Counterparty 169
2023-01-08,Payroll Clearing,4402.23,Transaction 170,Counterparty 170
2024-05-16,Professional services:Professional services,-3357.67,Transaction 171,Counterparty 171
2023-06-07,Long-Term Investments,236.53,Transaction 172,Counterparty 172
2024-01-14,Exchange Gain,3436.73,Transaction 173,Counterparty 173
2024-05-17,Mercury Checking *8932,1311.99,Transaction 174,Counterparty 174
2023-03-25,Other Expenses,4568.69,Transaction 175,Counterparty 175
2023-05-26,Stripe expenses,701.12,Transaction 176,Counterparty 176
2023-06-06,Financial Modeling,-67.26,Transaction 177,Counterparty 177
2024-02-10,Mercury Savings *6214,2204.27,Transaction 178,Counterparty 178
2023-11-10,CHASE CHE *8731,3163.51,Transaction 179,Counterparty 179
2023-07-21,Other Expenses:Social Tax,-4582.11,Transaction 180,Counterparty 180
2024-06-13,Work in process,271.4,Transaction 181,Counterparty 181
2024-02-28,Income,-1383.78,Transaction 182,Counterparty 182
2023-03-17,R&D expenses:R&D team salary,4187.07,Transaction 183,Counterparty 183
2023-02-15,Taxes:State Taxes,-3687.22,Transaction 184,Counterparty 184
2024-04-21,Inventory,-618.35,Transaction 185,Counterparty 185
2023-06-13,Direct labour:Project team salary,3124.38,Transaction 186,Counterparty 186
2024-02-07,Less:Discount,-4882.52,Transaction 187,Counterparty 187
2023-07-12,Professional services:Contractors,201.64,Transaction 188,Counterparty 188
2023-09-13,Income tax payable,-3638.72,Transaction 189,Counterparty 189
2023-06-03,Staff expenses:Operational software,-3313.66,Transaction 190,Counterparty 190
2023-10-18,Equity in earnings of subsidiaries,-4245.96,Transaction 191,Counterparty 191
2023-04-11,Purchase & Sales of property and equipment,2071.25,Transaction 192,Counterparty 192
2023-04-23,Income tax payable,-1977.42,Transaction 193,Counterparty 193
2023-02-02,G&A expenses:Salary G&A,-3960.42,Transaction 194,Counterparty 194
2024-04-29,Growth subscription,3795.82,Transaction 195,Counterparty 195
2023-07-11,Prepaid expenses for projects,376.4,Transaction 196,Counterparty 196
2024-04-26,Less,1879.14,Transaction 197,Counterparty 197
2023-04-02,CHASE CHE *8731,1983.86,Transaction 198,Counterparty 198
2023-02-06,G&A expenses:Salary G&A,-706.94,Transaction 199,Counterparty 199
2023-04-29,Interest Expenses,-4993.48,Transaction 200,Counterparty 200
2024-03-23,Other income,2016.77,Transaction 201,Counterparty 201
2023-12-06,Marketing and sales:Marketing team salary,3014.7,Transaction 202,Counterparty 202
2024-02-25,Marketing and sales:Marketing team salary,-4077.47,Transaction 203,Counterparty 203
2023-02-26,Accrued liabilities,-1156.41,Transaction 204,Counterparty 204
2023-07-31,Uncategorised Income,1713.94,Transaction 205,Counterparty 205
2023-10-11,Dividends paid,1048.01,Transaction 206,Counterparty 206
2023-09-11,Share capital,2836.38,Transaction 207,Counterparty 207
2023-11-17,Stripe,-1858.69,Transaction 208,Counterparty 208
2024-05-02,Stripe sales,-1327.38,Transaction 209,Counterparty 209
2024-02-09,WISE USD,2678.63,Transaction 210,Counterparty 210
2023-12-30,Stripe fees,-1311.05,Transaction 211,Counterparty 211
2024-03-11,Billable Expense Income,-732.57,Transaction 212,Counterparty 212
2023-01-05,Marketing and sales:Sales software & other services,-2070.41,Transaction 213,Counterparty 213
2023-01-11,Direct labour:Labour tax,-3673.84,Transaction 214,Counterparty 214
2024-05-14,Intangible Assets Accumulated Amortization,1278.92,Transaction 215,Counterparty 215
2023-07-24,Professional services:Financial & legal software,1430.92,Transaction 216,Counterparty 216
2024-02-13,"Marketing and sales:Content creation (newsletters, blog, social media)",-558.21,Transaction 217,Counterparty 217
2024-02-25,Bookkeeping subscription,1938.26,Transaction 218,Counterparty 218
2024-02-05,Work in process,2437.62,Transaction 219,Counterparty 219
2023-11-16,Prepaid expenses for projects,-2785.38,Transaction 220,Counterparty 220
2024-02-10,Taxes,-4921.51,Transaction 221,Counterparty 221
2024-04-07,G&A expenses:Salary G&A,-91.4,Transaction 222,Counterparty 222
2023-02-06,Income tax payable,-2795.58,Transaction 223,Counterparty 223
2023-04-20,Other Expenses,-4821.89,Transaction 224,Counterparty 224
2023-08-09,Stripe sales,2991.44,Transaction 225,Counterparty 225
2023-05-27,Accounts Payable (A/P),-4478.0,Transaction 226,Counterparty 226
2023-10-05,Stripe Other fees,-2656.56,Transaction 227,Counterparty 227
2023-06-19,Payroll Clearing,4054.93,Transaction 228,Counterparty 228
2023-01-04,Marketing and sales:Sales software & other services,3452.59,Transaction 229,Counterparty 229
2023-08-23,Mercury Checking *8932,-4306.59,Transaction 230,Counterparty 230
2023-09-18,Professional services:Contractors,3751.61,Transaction 231,Counterparty 231
2023-09-10,"Marketing and sales:Content creation (newsletters, blog, social media)",-4266.33,Transaction 232,Counterparty 232
2023-09-09,"Marketing and sales:Content creation (newsletters, blog, social media)",-1343.49,Transaction 233,Counterparty 233
2023-12-28,Interest Expenses,148.97,Transaction 234,Counterparty 234
2023-02-05,Exchange Gain,2221.61,Transaction 235,Counterparty 235
2023-04-11,Taxes,877.76,Transaction 236,Counterparty 236
2024-04-07,Opening Balance Equity,-77.35,Transaction 237,Counterparty 237
2023-10-21,Interest Income,-4574.31,Transaction 238,Counterparty 238
2023-04-21,Stripe Other fees,-4799.49,Transaction 239,Counterparty 239
2023-12-10,"Marketing and sales:Content creation (newsletters, blog, social media)",-2646.43,Transaction 240,Counterparty 240
2023-02-21,"Marketing and sales:Content creation (newsletters, blog, social media)",920.17,Transaction 241,Counterparty 241
2024-06-06,Marketing and sales:Sales bonus,-846.97,Transaction 242,Counterparty 242
2023-05-19,R&D expenses,-2473.75,Transaction 243,Counterparty 243
2024-05-07,Marketing and sales:M&S team salary tax expenses,3138.78,Transaction 244,Counterparty 244
2024-05-30,WISE EUR,-4602.99,Transaction 245,Counterparty 245
2023-06-13,Project's direct cost,-2636.76,Transaction 246,Counterparty 246
2024-05-20,Mercury Checking *8932,670.79,Transaction 247,Counterparty 247
2023-01-05,Other income,-33.24,Transaction 248,Counterparty 248
2024-04-16,Marketing and sales:Marketing team salary,-3922.86,Transaction 249,Counterparty 249
2023-05-07,Equity in earnings of subsidiaries,-3238.34,Transaction 250,Counterparty 250
2023-01-11,Professional services:Financial consultancy,-1921.89,Transaction 251,Counterparty 251
2023-05-28,Interest Payable,3521.27,Transaction 252,Counterparty 252
2023-01-19,Other Expenses:Other general and administrative expenses,-499.0,Transaction 253,Counterparty 253
2024-02-28,Short-Term Investments,-2096.24,Transaction 254,Counterparty 254
2024-03-23,Exchange Gain,1812.39,Transaction 255,Counterparty 255
2023-02-06,Available for sale assets (short-term),-863.64,Transaction 256,Counterparty 256
2023-04-07,Equity in earnings of subsidiaries,1281.24,Transaction 257,Counterparty 257
2023-02-22,Cost of sales,-4675.64,Transaction 258,Counterparty 258
2023-05-16,Uncategorised Income,-2361.11,Transaction 259,Counterparty 259
2023-05-19,Staff expenses,4080.91,Transaction 260,Counterparty 260
2024-05-04,Other Expenses:Comissions and fees,-1599.57,Transaction 261,Counterparty 261
2024-05-26,Donation,3813.88,Transaction 262,Counterparty 262
2024-05-02,Bookkeeping subscription,2451.73,Transaction 263,Counterparty 263
2023-03-19,Grants and other financial income,1398.15,Transaction 264,Counterparty 264
2024-06-11,Less:Discount,2503.41,Transaction 265,Counterparty 265
2023-09-20,Direct labour:Bonuses,3629.88,Transaction 266,Counterparty 266
2024-05-17,Accrued liabilities,-3044.4,Transaction 267,Counterparty 267
2023-03-26,Mercury Savings *6214,-687.22,Transaction 268,Counterparty 268
2024-02-07,Office expenses:Office equipment,1005.52,Transaction 269,Counterparty 269
2023-09-25,G&A expenses:Salary G&A Tax Expenses,735.96,Transaction 270,Counterparty 270
2024-06-06,Prepaid expenses administrative,4638.01,Transaction 271,Counterparty 271
2023-11-04,G&A expenses,3176.06,Transaction 272,Counterparty 272
2023-03-21,Uncategorised Expense,3560.65,Transaction 273,Counterparty 273
2023-04-20,Custom subscription,-2301.12,Transaction 274,Counterparty 274
2023-09-22,Project's direct cost:Subcontractors,-4068.71,Transaction 275,Counterparty 275
2023-05-29,Marketing and sales:Marketing team salary,1522.13,Transaction 276,Counterparty 276
2023-07-21,Marketing and sales:Website improvements,2448.73,Transaction 277,Counterparty 277
2023-07-19,Staff expenses:Recruitment software,-1229.95,Transaction 278,Counterparty 278
2024-02-22,Stripe sales,2003.28,Transaction 279,Counterparty 279
2023-05-05,Stripe Other fees,3027.31,Transaction 280,Counterparty 280
2024-06-06,G&A expenses,-1067.01,Transaction 281,Counterparty 281
2023-12-26,Common stock,-1715.59,Transaction 282,Counterparty 282
2024-03-09,Office expenses:Office equipment,-3598.59,Transaction 283,Counterparty 283
2023-07-27,Uncategorised Income,-4308.76,Transaction 284,Counterparty 284
2023-06-16,Stripe Other fees,596.55,Transaction 285,Counterparty 285
2023-09-12,Inventory,-547.75,Transaction 286,Counterparty 286
2023-07-23,Prepaid expenses for projects,-3147.36,Transaction 287,Counterparty 287
2023-08-25,Billable Expense Income,1531.72,Transaction 288,Counterparty 288
2024-06-17,Professional services,-2796.03,Transaction 289,Counterparty 289
2023-07-13,Purchase & Sales of property and equipment,-744.37,Transaction 290,Counterparty 290
2023-12-14,Stripe fees,3316.87,Transaction 291,Counterparty 291
2023-05-13,Professional services:Legal consultancy,-3431.61,Transaction 292,Counterparty 292
2023-07-27,Mercury CHE *6028,3479.66,Transaction 293,Counterparty 293
2023-11-13,Marketing and sales:Sales bonus,-1660.24,Transaction 294,Counterparty 294
2023-02-03,Accounts Receivable (A/R),-4289.6,Transaction 295,Counterparty 295
2023-05-31,G&A expenses:Salary G&A,4856.63,Transaction 296,Counterparty 296
2023-03-25,Other Expenses:PE Tax,-928.67,Transaction 297,Counterparty 297
2023-07-14,Financial Modeling,2427.75,Transaction 298,Counterparty 298
2024-01-12,Professional services:Contractors,3511.84,Transaction 299,Counterparty 299
2023-05-26,Common stock,-2846.88,Transaction 300,Counterparty 300
2024-01-16,Staff expenses:Other staff expenses,2617.04,Transaction 301,Counterparty 301
2023-11-12,R&D expenses:R&D team salary tax expenses,-2412.43,Transaction 302,Counterparty 302
2024-01-18,Stripe,-1954.7,Transaction 303,Counterparty 303
2023-01-28,Marketing and sales:M&S team salary tax expenses,-4571.38,Transaction 304,Counterparty 304
2023-03-04,Staff expenses:Recruitment software,4981.01,Transaction 305,Counterparty 305
2023-12-17,CHASE CHE *8731,-829.25,Transaction 306,Counterparty 306
2023-01-05,Purchase & Sales of property and equipment,814.62,Transaction 307,Counterparty 307
2024-04-11,Principal repayment of lease obligations,-750.21,Transaction 308,Counterparty 308
2023-01-07,Marketing and sales:Other marketing expenses,-3242.04,Transaction 309,Counterparty 309
2024-03-29,Professional services:Contractors,21.2,Transaction 310,Counterparty 310
2024-05-24,Marketing and sales:Refferal program,3748.61,Transaction 311,Counterparty 311
2023-03-21,Travelling expenses,-500.33,Transaction 312,Counterparty 312
2023-09-05,Purchase & Sales of intangible assets,4593.93,Transaction 313,Counterparty 313
2023-01-20,G&A expenses:Salary G&A,711.17,Transaction 314,Counterparty 314
2023-03-17,Payroll Clearing,-4611.3,Transaction 315,Counterparty 315
2023-10-20,Exchange Gain,-1109.8,Transaction 316,Counterparty 316
2024-03-06,Office expenses:Rent,4396.65,Transaction 317,Counterparty 317
2024-06-14,Professional services:Bookkeeping,3898.33,Transaction 318,Counterparty 318
2023-03-03,Dividends payable,3133.23,Transaction 319,Counterparty 319
2024-01-02,Mercury Checking *8932,2529.36,Transaction 320,Counterparty 320
2023-10-06,Accounts Payable (A/P),2751.4,Transaction 321,Counterparty 321
2023-07-23,Amortisation / Depreciation:Amortisation,4421.79,Transaction 322,Counterparty 322
2023-08-07,R&D expenses:R&D team salary tax expenses,1659.38,Transaction 323,Counterparty 323
2023-06-04,Uncategorised Asset,-2106.28,Transaction 324,Counterparty 324
2023-06-22,Office expenses:Rent,1659.18,Transaction 325,Counterparty 325
2023-11-22,Exchange Gain,3297.62,Transaction 326,Counterparty 326
2023-12-22,Essential subscription,-3868.76,Transaction 327,Counterparty 327
2023-03-28,Amortisation / Depreciation:Depreciation,-2709.26,Transaction 328,Counterparty 328
2024-04-19,WISE EUR,2215.02,Transaction 329,Counterparty 329
2023-07-25,R&D expenses:R&D team salary tax expenses,-3937.09,Transaction 330,Counterparty 330
2023-09-11,Available for sale assets (short-term),191.01,Transaction 331,Counterparty 331
2024-01-05,Less:Discount,1676.83,Transaction 332,Counterparty 332
2023-06-30,Mercury CHE *6028,-2089.87,Transaction 333,Counterparty 333
2023-02-08,Inventory Asset,-1498.61,Transaction 334,Counterparty 334
2024-02-03,Mercury Savings *6214,2469.08,Transaction 335,Counterparty 335
2023-03-22,Staff expenses:Education,775.14,Transaction 336,Counterparty 336
2023-01-07,Prepaid expenses for projects,-4673.89,Transaction 337,Counterparty 337
2024-06-16,Intangible Assets Accumulated Amortization,-4350.31,Transaction 338,Counterparty 338
2023-12-07,Marketing and sales:Sales team salary,-2233.17,Transaction 339,Counterparty 339
2023-07-06,Available for sale assets (short-term),2357.31,Transaction 340,Counterparty 340
2024-06-06,Stripe fees,-4673.5,Transaction 341,Counterparty 341
2023-05-20,Stripe Other fees,4941.91,Transaction 342,Counterparty 342
2023-11-16,Direct labour,-2977.51,Transaction 343,Counterparty 343
2023-01-19,Office expenses:Office equipment,-4998.11,Transaction 344,Counterparty 344
2023-09-04,Direct labour,-2286.23,Transaction 345,Counterparty 345
2023-03-02,Accrued non-current liabilities,-4695.92,Transaction 346,Counterparty 346
2023-09-18,Professional services:Legal consultancy,2462.44,Transaction 347,Counterparty 347
2023-06-13,Professional services:Financial consultancy,-2507.49,Transaction 348,Counterparty 348
2024-01-23,Uncategorised Asset,1544.76,Transaction 349,Counterparty 349
2023-01-09,Mercury Checking *8932,488.36,Transaction 350,Counterparty 350
2023-09-18,Undeposited Funds,-2597.36,Transaction 351,Counterparty 351
2023-07-30,Staff expenses:Recruitment expenses,-3144.33,Transaction 352,Counterparty 352
2023-09-04,Less:Refferal discount,4800.04,Transaction 353,Counterparty 353
2023-05-20,Marketing and sales:Sales bonus,-3389.18,Transaction 354,Counterparty 354
2023-04-15,Consulting,2575.06,Transaction 355,Counterparty 355
2023-06-06,Direct labour,2141.27,Transaction 356,Counterparty 356
2023-09-13,Other Expenses:Other general and administrative expenses,3280.26,Transaction 357,Counterparty 357
2024-03-25,Staff expenses:Other staff expenses,-4636.45,Transaction 358,Counterparty 358
2023-02-08,Professional services:Financial & legal software,3915.84,Transaction 359,Counterparty 359
2023-02-14,Project's direct cost:Subcontractors,-2497.73,Transaction 360,Counterparty 360
2023-10-05,Accrued non-current liabilities,-4399.7,Transaction 361,Counterparty 361
2023-08-19,Stripe Other fees,21.98,Transaction 362,Counterparty 362
2023-02-26,CHASE SAV *2868,2821.89,Transaction 363,Counterparty 363
2023-10-14,Intangible assets,-1759.98,Transaction 364,Counterparty 364
2023-12-05,Marketing and sales:Other sales expenses,-2310.99,Transaction 365,Counterparty 365
2023-07-04,Other Expenses:Comissions and fees,3225.86,Transaction 366,Counterparty 366
2023-02-12,Office expenses:Rent,-3242.36,Transaction 367,Counterparty 367
